---------------------------------------------------------------------
PACKAGE                                             VERSION             
cq-activitystreams-content                          1.1.10              
cq-address-content                                  1.1.12              
cq-address-content                                  1.1.20              
cq-chart-content                                    1.0.2               
cq-cloudservices-content                            1.1.504             
cq-cloudservices-content                            1.1.558             
cq-cloudservices-content                            1.1.582             
cq-commerce-content                                 1.3.114             
cq-commerce-content                                 1.3.156             
cq-commerce-content                                 1.3.168             
cq-compat-content                                   1.1.44              
cq-compat-content                                   1.2.56              
cq-connector-content                                1.0.0               
cq-content                                          6.1.180             
cq-content                                          6.1.204             
cq-content                                          6.1.218             
cq-content-insight-content                          1.1.30              
cq-content-insight-content                          1.1.36              
cq-dam-bundles-content                              1.0.226             
cq-dam-bundles-content                              1.0.360-R002        
cq-dam-bundles-content                              1.0.446             
cq-dam-content                                      2.1.294             
cq-dam-content                                      2.1.472-NPR-9270-B0002
cq-dam-content                                      2.1.566             
cq-dam-delivery-bundles-content                     1.0.28              
cq-dam-delivery-bundles-content                     1.0.44              
cq-dam-delivery-content                             1.0.4               
cq-dam-libs-content                                 1.0.8               
cq-dam-libs-content                                 1.0.10              
cq-dam-mac-sync-pkg                                 1.1.18              
cq-dam-mac-sync-pkg                                 1.1.20              
cq-dam-mac-sync-pkg                                 1.1.22              
cq-dam-sample-content                               1.0.4               
cq-dam-scene7-viewers-content                       1.50                
cq-dashboards-content                               1.1.6               
cq-foundation-content                               1.1.258             
cq-foundation-content                               1.1.332             
cq-foundation-content                               1.1.366             
cq-geometrixx-all-pkg                               5.8.392             
cq-geometrixx-commons-pkg                           5.9.12              
cq-geometrixx-login-pkg                             5.7.0               
cq-geometrixx-media-pkg                             5.8.80              
cq-geometrixx-media-ugc-pkg                         5.8.10              
cq-geometrixx-outdoors-app-pkg                      5.8.52              
cq-geometrixx-outdoors-pkg                          5.8.242             
cq-geometrixx-outdoors-ugc-pkg                      5.8.12              
cq-geometrixx-pkg                                   5.8.44              
cq-geometrixx-users-pkg                             5.8.12              
cq-geometrixx-workflow-pkg                          5.7.0               
cq-healthcheck-content                              1.1.4               
cq-i18n-content                                     1.1.70              
cq-launches-content                                 1.4.2               
cq-mcm-content                                      1.1.182             
cq-mcm-content                                      1.1.196             
cq-mcm-content                                      1.1.204             
cq-media-content                                    5.8.66              
cq-media-content                                    5.8.74              
cq-media-content                                    5.8.76              
cq-platform-content                                 1.1.782             
cq-platform-content                                 1.1.910             
cq-platform-content                                 1.1.980             
cq-projects-content                                 1.1.134             
cq-projects-content                                 1.1.162             
cq-projects-translation-content                     0.0.64              
cq-projects-translation-content                     0.0.74              
cq-security-content                                 1.1.6               
cq-security-content                                 1.1.12              
cq-ui-classic-content                               1.1.118             
cq-ui-classic-content                               1.1.176             
cq-ui-classic-content                               1.1.206             
cq-ui-static-typekit-content                        1.0.4               
cq-ui-static-typekit-content                        1.2.6               
cq-ui-touch-optimized-content                       2.1.1088            
cq-ui-touch-optimized-content                       2.1.1250            
cq-ui-touch-optimized-content                       2.1.1292            
cq-wcm-content                                      6.1.578             
cq-wcm-content                                      6.1.724             
cq-wcm-content                                      6.1.796             
